time,year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_,tot_solar_mw,theory_power,solar_zenith
2023-07-11 14:00:00,2023,2023-07-11,15,2001.300999999997,1805.0,2.001300999999997,0.0,113.29385311531287
2023-07-11 15:00:00,2023,2023-07-11,16,1806.9619999999984,1798.0,1.8069619999999984,0.0,119.42089931385308
2023-07-11 16:00:00,2023,2023-07-11,17,1433.383,1774.0,1.433383,0.0,122.60497711785287
2023-07-11 17:00:00,2023,2023-07-11,18,940.2019999999999,1740.0,0.9402019999999999,0.0,122.34863848160506
2023-07-11 18:00:00,2023,2023-07-11,19,427.31000000000023,1677.0,0.42731000000000025,0.0,118.69554379587136
2023-07-11 19:00:00,2023,2023-07-11,20,130.60800000000032,1598.0,0.1306080000000003,0.0,112.20002922361672
2023-07-11 20:00:00,2023,2023-07-11,21,20.66500000000009,619.0,0.020665000000000093,0.0,103.59738872205902
2023-07-11 21:00:00,2023,2023-07-11,22,,,0.0,0.0,93.5345452144235
2023-07-11 22:00:00,2023,2023-07-11,23,,,0.0,0.21827365252013115,82.37591144261134
2023-07-11 23:00:00,2023,2023-07-11,24,,,0.0,1.277974713303922,70.75714762702103
2023-07-12 00:00:00,2023,2023-07-12,1,,,0.0,2.9499709188281975,58.69513168991536
2023-07-12 01:00:00,2023,2023-07-12,2,,,0.0,4.657140386504381,46.441668090083795
2023-07-12 02:00:00,2023,2023-07-12,3,,,0.0,6.117470263962561,34.269317047067254
2023-07-12 03:00:00,2023,2023-07-12,4,,,0.0,7.161654591103537,22.763143352564796
2023-07-12 04:00:00,2023,2023-07-12,5,0.47100000000000003,8.0,0.000471,7.68686784866211,14.143927398705003
2023-07-12 05:00:00,2023,2023-07-12,6,18.000000000000004,1274.0,0.018000000000000002,7.644938836094919,15.01390163880123
2023-07-12 06:00:00,2023,2023-07-12,7,168.24499999999946,1602.0,0.16824499999999948,7.039559852176131,24.370053116862593
2023-07-12 07:00:00,2023,2023-07-12,8,535.8109999999986,1672.0,0.5358109999999986,5.926473761642296,36.04658252682152
2023-07-12 08:00:00,2023,2023-07-12,9,1069.564000000001,1730.0,1.069564000000001,4.416999494120883,48.25884260951402
2023-07-12 09:00:00,2023,2023-07-12,10,1555.4120000000016,1770.0,1.5554120000000016,2.6925478229544932,60.50489646388738
2023-07-12 10:00:00,2023,2023-07-12,11,1892.477000000001,1783.0,1.892477000000001,1.0592450792737274,72.52760968594066
2023-07-12 11:00:00,2023,2023-07-12,12,2063.5210000000006,1794.0,2.0635210000000006,0.13430470349403945,84.05730923958224
2023-07-12 12:00:00,2023,2023-07-12,13,2091.5410000000015,1799.0,2.0915410000000016,0.0,95.13682678916209
2023-07-12 13:00:00,2023,2023-07-12,14,2006.084,1798.0,2.006084,0.0,105.0361973263742
2023-07-12 14:00:00,2023,2023-07-12,15,1866.5380000000007,1795.0,1.8665380000000007,0.0,113.39381084102682
2023-07-12 15:00:00,2023,2023-07-12,16,1549.975,1788.0,1.5499749999999999,0.0,119.53914303775278
2023-07-12 16:00:00,2023,2023-07-12,17,1035.522999999999,1753.0,1.035522999999999,0.0,122.7380586033103
2023-07-12 17:00:00,2023,2023-07-12,18,642.2029999999999,1716.0,0.6422029999999999,0.0,122.48892992422682
2023-07-12 18:00:00,2023,2023-07-12,19,317.4329999999998,1648.0,0.3174329999999998,0.0,118.83438101509464
2023-07-12 19:00:00,2023,2023-07-12,20,97.27800000000046,1541.0,0.09727800000000046,0.0,112.3314668784858
2023-07-12 20:00:00,2023,2023-07-12,21,21.884000000000018,417.0,0.021884000000000018,0.0,103.71906391179043
2023-07-12 21:00:00,2023,2023-07-12,22,,,0.0,0.0,93.64650190289242
2023-07-12 22:00:00,2023,2023-07-12,23,,,0.0,0.21265697383661178,82.47801446479475
2023-07-12 23:00:00,2023,2023-07-12,24,,,0.0,1.2689147544219537,70.8537133535787
2023-07-13 00:00:00,2023,2023-07-13,1,,,0.0,2.940480365851825,58.78752999796693
2023-07-13 01:00:00,2023,2023-07-13,2,,,0.0,4.649075791516297,46.533091880309335
2023-07-13 02:00:00,2023,2023-07-13,3,,,0.0,6.111395387848503,34.3653109235357
2023-07-13 03:00:00,2023,2023-07-13,4,,,0.0,7.157565783087426,22.874805130383024
2023-07-13 04:00:00,2023,2023-07-13,5,0.401,5.0,0.00040100000000000004,7.684449162027931,14.284933729735599
2023-07-13 05:00:00,2023,2023-07-13,6,17.64900000000002,1207.0,0.01764900000000002,7.643682870186326,15.124262619781135
2023-07-13 06:00:00,2023,2023-07-13,7,177.14499999999936,1598.0,0.17714499999999936,7.038853619706677,24.43282240996787
2023-07-13 07:00:00,2023,2023-07-13,8,498.7139999999993,1666.0,0.4987139999999993,5.925681326743079,36.0916726469931
2023-07-13 08:00:00,2023,2023-07-13,9,984.8600000000002,1725.0,0.9848600000000003,4.415566722465653,48.29971540882723
2023-07-13 09:00:00,2023,2023-07-13,10,1445.2380000000035,1765.0,1.4452380000000036,2.690189000787264,60.54801804831056
2023-07-13 10:00:00,2023,2023-07-13,11,1767.4930000000015,1787.0,1.7674930000000015,1.056416103441564,72.57699678269233
2023-07-13 11:00:00,2023,2023-07-13,12,1825.724999999998,1794.0,1.825724999999998,0.13110375194421092,84.11535971033517
2023-07-13 12:00:00,2023,2023-07-13,13,1746.8539999999975,1794.0,1.7468539999999975,0.0,95.20883950099338
2023-07-13 13:00:00,2023,2023-07-13,14,1707.8439999999982,1784.0,1.7078439999999981,0.0,105.12404667133914
2023-07-13 14:00:00,2023,2023-07-13,15,1683.6689999999996,1789.0,1.6836689999999996,0.0,113.49990122828675
2023-07-13 15:00:00,2023,2023-07-13,16,1491.2600000000045,1788.0,1.4912600000000045,0.0,119.66379647923316
2023-07-13 16:00:00,2023,2023-07-13,17,1184.5839999999985,1736.0,1.1845839999999985,0.0,122.87753536381925
2023-07-13 17:00:00,2023,2023-07-13,18,872.0919999999992,1729.0,0.8720919999999992,0.0,122.63518181914029
2023-07-13 18:00:00,2023,2023-07-13,19,414.3739999999992,1690.0,0.41437399999999924,0.0,118.97839692686674
2023-07-13 19:00:00,2023,2023-07-13,20,93.55400000000034,1556.0,0.09355400000000035,0.0,112.46717892116828
2023-07-13 20:00:00,2023,2023-07-13,21,12.98899999999999,144.0,0.01298899999999999,0.0,103.84417362843244
2023-07-13 21:00:00,2023,2023-07-13,22,,,0.0,0.0,93.7611994106066
2023-07-13 22:00:00,2023,2023-07-13,23,,,0.0,0.20692526922305882,82.58226627817591
2023-07-13 23:00:00,2023,2023-07-13,24,,,0.0,1.2598122596602033,70.95211191469565
2023-07-14 00:00:00,2023,2023-07-14,1,,,0.0,2.9310414425489837,58.8815660609404
2023-07-14 01:00:00,2023,2023-07-14,2,,,0.0,4.641144849633623,46.626168417785344
2023-07-14 02:00:00,2023,2023-07-14,3,,,0.0,6.105498563972029,34.46331158020449
2023-07-14 03:00:00,2023,2023-07-14,4,,,0.0,7.153657737910232,22.989492042050856
2023-07-14 04:00:00,2023,2023-07-14,5,0.334,4.0,0.00033400000000000004,7.682173788379375,14.431151239668267
2023-07-14 05:00:00,2023,2023-07-14,6,6.875000000000009,422.0,0.006875000000000009,7.642496852070859,15.24148801393379
2023-07-14 06:00:00,2023,2023-07-14,7,106.63300000000014,1493.0,0.10663300000000014,7.038114520212037,24.50142100698767
2023-07-14 07:00:00,2023,2023-07-14,8,454.10499999999917,1679.0,0.45410499999999915,5.9247327010108135,36.14182398743167
2023-07-14 08:00:00,2023,2023-07-14,9,800.2809999999994,1710.0,0.8002809999999994,4.413846934941286,48.34534484877307
2023-07-14 09:00:00,2023,2023-07-14,10,679.2420000000005,1672.0,0.6792420000000006,2.6874292844850673,60.59584976970969
2023-07-14 10:00:00,2023,2023-07-14,11,553.0909999999991,1631.0,0.5530909999999991,1.0531579920306398,72.63119856271834
2023-07-14 11:00:00,2023,2023-07-14,12,622.721999999999,1634.0,0.622721999999999,0.12768756185878494,84.17834826140523
2023-07-14 12:00:00,2023,2023-07-14,13,1055.4889999999984,1683.0,1.0554889999999983,0.0,95.28622287477019
2023-07-14 13:00:00,2023,2023-07-14,14,1107.066,1703.0,1.107066,0.0,105.21763938172117
2023-07-14 14:00:00,2023,2023-07-14,15,1142.7389999999964,1722.0,1.1427389999999964,0.0,113.61211083584023
2023-07-14 15:00:00,2023,2023-07-14,16,1357.5119999999997,1803.0,1.3575119999999996,0.0,119.79483092757555
